search URL:,https://patents.google.com/?assignee=Tesla+Motors%252c+Inc&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9321362-B2,Cooling of charging cable ,"Tesia Motors, Inc.","Yee Shan WOO, Christopher H. Van Dyke, Joseph Mardall, Christopher Newport, Joshua W. Ferguson",2014-02-05,2014-02-05,2016-04-26,2016-04-26,https://patents.google.com/patent/US9321362B2/en,https://patentimages.storage.googleapis.com/36/a8/f9/eb40c783b3440e/US09321362-20160426-D00000.png
US-D788672-S,Vehicle wheel face ,"Tesla, Inc.","Bernard Lee, Franz Von Holzhausen",2016-03-30,2016-03-30,2017-06-06,2017-06-06,https://patents.google.com/patent/USD788672S1/en,https://patentimages.storage.googleapis.com/ca/fe/cc/ec806ff257362d/USD0788672-20170606-D00000.png
US-9331552-B2,Rotor assembly with heat pipe cooling system ,"Tesla Motors, Inc.","Lev Fedoseyev, Edwin Marcum Pearce, JR.",2013-06-13,2013-06-13,2016-05-03,2016-05-03,https://patents.google.com/patent/US9331552B2/en,https://patentimages.storage.googleapis.com/d7/9d/67/27bdff9c49eecd/US09331552-20160503-D00000.png
US-9688164-B2,Movable vehicle seat with monopost ,"Tesla, Inc.","P Thomas Vikstrom, Tony PASCHOS, Jan Just, Franz Von Holzhausen",2015-08-25,2015-08-25,2017-06-27,2017-06-27,https://patents.google.com/patent/US9688164B2/en,https://patentimages.storage.googleapis.com/1f/3b/e3/f732ddd8ab43e2/US09688164-20170627-D00000.png
US-9688252-B2,Battery swapping system and techniques ,"Tesla, Inc.","Eric Orlando GAFFOGLIO, Alan Clarke, Matthew Lee Brown",2014-04-23,2015-04-23,2017-06-27,2017-06-27,https://patents.google.com/patent/US9688252B2/en,https://patentimages.storage.googleapis.com/78/e9/6e/2e589930b112d3/US09688252-20170627-D00000.png
US-9352785-B2,Subframe configured to detach upon impact ,"Tesla Motors, Inc.","N. Petter WINBERG, Michael J Eckert, Sachin Shrimant Sawant",2014-04-17,2014-04-17,2016-05-31,2016-05-31,https://patents.google.com/patent/US9352785B2/en,https://patentimages.storage.googleapis.com/6a/70/9b/f25937b212221d/US09352785-20160531-D00000.png
US-D749503-S,Electric-vehicle connector post ,"Tesla Motors, Inc.","Joshua Willard Ferguson, Franz Von Holzhausen, Javier Verdura, Radu I Muntean, Patrick Grimmel",2013-12-17,2015-06-30,2016-02-16,2016-02-16,https://patents.google.com/patent/USD749503S1/en,https://patentimages.storage.googleapis.com/c5/31/aa/3e61dd62e64903/USD0749503-20160216-D00000.png
US-D809971-S,Vehicle body ,"Tesla, Inc.","Bernard Lee, Franz Von Holzhausen, David T Imai",2016-03-30,2016-03-30,2018-02-13,2018-02-13,https://patents.google.com/patent/USD809971S1/en,https://patentimages.storage.googleapis.com/7a/97/a4/53cfca693f43f8/USD0809971-20180213-D00000.png
US-10173739-B2,Integrated vehicle-end structure ,"Tesla, Inc.","James Bellis, P Thomas Vikstrom",2015-08-28,2016-12-16,2019-01-08,2019-01-08,https://patents.google.com/patent/US10173739B2/en,https://patentimages.storage.googleapis.com/ff/c3/0a/297c1ca5d8af21/US10173739-20190108-D00000.png
US-10199804-B2,Busbar locating component ,"Tesla, Inc.","Robert James Ramm, Dino Sasaridis, Colin Campbell, Wenjun Liu",2014-12-01,2014-12-01,2019-02-05,2019-02-05,https://patents.google.com/patent/US10199804B2/en,https://patentimages.storage.googleapis.com/c9/99/07/1c5c77a79be228/US10199804-20190205-D00000.png
US-10295355-B2,Trip planning with energy constraint ,"Tesla, Inc.","Andrew D. Baglino, Thorsten Hayer, Brennan Boblett, Matthew Fox, Vineet H. Mehta, Keijiro Ikebe, Kevin Hsieh, Craig B. Carlson, Jeffrey B. Straubel",2014-04-04,2015-03-19,2019-05-21,2019-05-21,https://patents.google.com/patent/US10295355B2/en,https://patentimages.storage.googleapis.com/25/09/e6/ce28d0cb15f90c/US10295355-20190521-D00000.png
US-9761919-B2,Energy storage system with heat pipe thermal management ,"Tesla, Inc.","Robert C. Lane, Hae-won Choi, Jeff Weintraub, Carlos Mario Aguirre, Mark Riegel, Orion A. King, Nathan Chidiac, Jon Wagner, Augusto E. Barton, Ernest Villanueva, David Rosenberg",2014-02-25,2014-02-25,2017-09-12,2017-09-12,https://patents.google.com/patent/US9761919B2/en,https://patentimages.storage.googleapis.com/83/b7/6b/76d64dd967f1ab/US09761919-20170912-D00000.png
US-9527403-B2,Charging station providing thermal conditioning of electric vehicle during charging session ,"Tesla Motors, Inc.","Joseph Mardall, Christopher H. Van Dyke",2014-04-29,2014-04-29,2016-12-27,2016-12-27,https://patents.google.com/patent/US9527403B2/en,https://patentimages.storage.googleapis.com/14/8e/aa/cfa75627e0b4a1/US09527403-20161227-D00000.png
US-10344877-B2,Multi-port valve with multiple operation modes ,"Tesla Motors, Inc.","Nicholas Albert Roche, Joseph Stratford Maxwell Mardall, Jan Kopitz, Curt Raymond O'Donnell",2015-12-01,2016-11-30,2019-07-09,2019-07-09,https://patents.google.com/patent/US10344877B2/en,https://patentimages.storage.googleapis.com/04/48/57/1f10096642825c/US10344877-20190709-D00000.png
US-10347894-B2,Energy storage system ,"Tesla, Inc.","Augusto E. Barton, Robert Clinton Lane, Nathan Khalil Chidiac, Julian Christian Carl, Hugh Burnett Ross, William B. Stockton, Nicholas Paul Manov",2017-01-20,2017-01-20,2019-07-09,2019-07-09,https://patents.google.com/patent/US10347894B2/en,https://patentimages.storage.googleapis.com/dc/69/0b/c46920f79f7c34/US10347894-20190709-D00000.png
US-9797181-B2,Vehicle front door power opening system ,"Tesla, Inc.","David Wheeler, Chris MCCARTHY, Jacob WARMAN, Austin NEWMAN, John Hughes",2015-08-26,2015-09-11,2017-10-24,2017-10-24,https://patents.google.com/patent/US9797181B2/en,https://patentimages.storage.googleapis.com/cd/1f/d3/8ac8cb543bda08/US09797181-20171024-D00000.png
US-9577227-B2,Cell module assemblies ,"Tesla Motors, Inc.","Robert D. Sumpf, Ernest Villanueva, David E. Hegeman, Satvik Vipin Batavia, Ganesh Singh, Alex Prilutsky, Scott I. Kohn, Bruce P. Edwards, Peter Tennessen",2013-10-17,2013-10-17,2017-02-21,2017-02-21,https://patents.google.com/patent/US9577227B2/en,https://patentimages.storage.googleapis.com/9e/a1/c4/ac7cfe7761c7a4/US09577227-20170221-D00000.png
US-9637020-B2,Location based charging control of electric vehicle ,"Tesla, Inc.","Brennan Boblett, Nalinichandra Penke, Miriam Vu, Kevin Hsieh, Roy Goldman, Thorsten Hayer, Scott Ira Kohn",2013-05-21,2013-05-21,2017-05-02,2017-05-02,https://patents.google.com/patent/US9637020B2/en,https://patentimages.storage.googleapis.com/51/83/c5/984d52c4520073/US09637020-20170502-D00000.png
US-D786161-S,Vehicle wheel ,"Tesla, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2017-05-09,2017-05-09,https://patents.google.com/patent/USD786161S1/en,https://patentimages.storage.googleapis.com/1e/d2/22/66304c6ffa2a35/USD0786161-20170509-D00000.png
US-9899652-B2,Self-activated draining system ,"Tesla, Inc.","Mark Goldman, Adam Horton, Dustin Grace, Peter How",2013-05-10,2016-02-19,2018-02-20,2018-02-20,https://patents.google.com/patent/US9899652B2/en,https://patentimages.storage.googleapis.com/fc/97/0c/c147648b218f0f/US09899652-20180220-D00000.png
US-10525395-B2,Vehicle air system with high efficiency filter ,"Tesla, Inc.","Joseph Mardall, Adam MASER",2015-08-26,2017-05-31,2020-01-07,2020-01-07,https://patents.google.com/patent/US10525395B2/en,https://patentimages.storage.googleapis.com/3f/2e/2c/f8adb0b0c3a73a/US10525395-20200107-D00000.png
US-10464397-B2,Thermal system with high aspect ratio vent ,"Tesla, Inc.","Giacomo CASTIGLIONI, Raffaele N Russo, Joseph Mardall, Nicholas MANCINI",2016-03-03,2016-03-03,2019-11-05,2019-11-05,https://patents.google.com/patent/US10464397B2/en,https://patentimages.storage.googleapis.com/f1/9e/20/a33d7c6e48a462/US10464397-20191105-D00000.png
US-10673033-B2,Gasket and diaphragm for electrochemical cell ,"Tesla, Inc.","Christophe Mille, Kunio Tsuruta, Kenjin Masumoto",2015-08-24,2016-08-23,2020-06-02,2020-06-02,https://patents.google.com/patent/US10673033B2/en,https://patentimages.storage.googleapis.com/a4/c8/c3/3a996323d0b07c/US10673033-20200602-D00000.png
US-10513247-B2,Battery swapping system and techniques ,"Tesla, Inc.","Alan Clarke, Matthew Lee Brown, Eric Orlando GAFFOGLIO, II Samuel Milan POZNANOVICH",2013-06-19,2014-05-22,2019-12-24,2019-12-24,https://patents.google.com/patent/US10513247B2/en,https://patentimages.storage.googleapis.com/9c/17/69/ca303af40f5c21/US10513247-20191224-D00000.png
US-10892621-B2,Scalable hierarchical energy distribution grid utilizing homogeneous control logic ,"Tesla, Inc.","Peter Rive, Eric Daniel Carlson",2015-02-24,2019-10-22,2021-01-12,2021-01-12,https://patents.google.com/patent/US10892621B2/en,https://patentimages.storage.googleapis.com/16/0a/7f/86a25550720672/US10892621-20210112-D00000.png
US-9787112-B2,Inter-protocol charging adapter ,"Tesla, Inc.","Martin Sukup, Troy A. Nergaard, Kristoffer J. Donhowe",2013-04-02,2013-04-02,2017-10-10,2017-10-10,https://patents.google.com/patent/US9787112B2/en,https://patentimages.storage.googleapis.com/45/ae/21/3e88ded0136df5/US09787112-20171010-D00000.png
US-9536671-B2,Planar capacitor terminals ,"Telsa Motors, Inc.","Robert James Ramm, Dino Sasaridis, Colin Campbell, Wenjun Liu",2014-12-01,2014-12-01,2017-01-03,2017-01-03,https://patents.google.com/patent/US9536671B2/en,https://patentimages.storage.googleapis.com/06/fe/87/ee5acc99789606/US09536671-20170103-D00000.png
US-D786154-S,Steering wheel ,"Tesla, Inc.","Rodrigo Castaman, Sahm Jafari, Ivan Lampkin, Franz Von Holzhausen",2016-03-30,2016-03-30,2017-05-09,2017-05-09,https://patents.google.com/patent/USD786154S1/en,https://patentimages.storage.googleapis.com/b6/31/32/5d9d2dcb9c99e9/USD0786154-20170509-D00000.png
US-D766802-S,Vehicle wheel ,"Tesla Motors, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2016-09-20,2016-09-20,https://patents.google.com/patent/USD766802S1/en,https://patentimages.storage.googleapis.com/b3/71/3b/7749ce6c2acf11/USD0766802-20160920-D00000.png
US-10439477-B2,Pressurized and gravity-fed liquid cooling of electric motor ,"Tesla, Inc.","Gary A. Pinkley, David F. Nelson, William R. Fong, Scott Heines, Edwin M. Pearce, Jr.",2014-01-31,2014-01-31,2019-10-08,2019-10-08,https://patents.google.com/patent/US10439477B2/en,https://patentimages.storage.googleapis.com/dd/1f/35/6482e3a2c07d86/US10439477-20191008-D00000.png
US-10046422-B2,Extrusion piece with insert of dissimilar material ,"Tesla, Inc.",Michael J. Baldwin,2013-05-03,2016-04-15,2018-08-14,2018-08-14,https://patents.google.com/patent/US10046422B2/en,https://patentimages.storage.googleapis.com/f8/ae/96/bcf2860141aefb/US10046422-20180814-D00000.png
US-2014212695-A1,Flexible printed circuit as high voltage interconnect in battery modules ,"Tesla Motors, Inc.","Robert Clinton Lane, Jeff Weintraub",2013-01-30,2013-01-30,2014-07-31,,https://patents.google.com/patent/US20140212695A1/en,https://patentimages.storage.googleapis.com/2d/6d/c0/b61ddf128141f6/US20140212695A1-20140731-D00000.png
US-D774435-S,Vehicle wheel ,"Tesla Motors, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2016-12-20,2016-12-20,https://patents.google.com/patent/USD774435S1/en,https://patentimages.storage.googleapis.com/cc/7e/86/e9426747581c3c/USD0774435-20161220-D00000.png
US-D809967-S,Vehicle instrument panel ,"Tesla, Inc.","Ivan Lampkin, Peter Blades-Nixon, Franz Von Holzhausen",2016-03-30,2016-03-30,2018-02-13,2018-02-13,https://patents.google.com/patent/USD809967S1/en,https://patentimages.storage.googleapis.com/35/26/46/10eafe8205a841/USD0809967-20180213-D00000.png
JP-2023015182-A,Elemental metal and carbon mixtures for energy storage devices ,"テスラ・インコーポレーテッド, Tesla Motors Inc","ヒエウ ミン ドゥオン, Hieu Minh Duong, ポーター ミッチェル, Mitchell Porter, ムハンマド－ヤジド サイディ, Saidi Mohammed-Yazid",2016-02-23,2022-11-01,2023-01-31,,https://patents.google.com/patent/JP2023015182A/en,https://patentimages.storage.googleapis.com/24/97/60/effdd085e11f40/2023015182000002.png
JP-2023058614-A,"Energy storage device electrode, and method for fabricating dry energy storage device electrode film ","テスラ・インコーポレーテッド, Tesla Motors Inc","サンタナム ラマン, Raman Santhanam, ジェイムズ ボーケンヘイゲン, borkenhagen James, シャオメイ シ, Xiaomei Xi, シャンロン イエ, Xiang-Rong Ye",2016-03-01,2023-02-09,2023-04-25,,https://patents.google.com/patent/JP2023058614A/en,https://patentimages.storage.googleapis.com/28/ea/5f/5919b9bc98d395/2023058614000002.png
US-8973965-B2,Folding and stowing rear-facing vehicle seat ,"Tesla Motors, Inc.","Daryl Zalan, Sohel Merchant",2013-05-10,2013-05-10,2015-03-10,2015-03-10,https://patents.google.com/patent/US8973965B2/en,https://patentimages.storage.googleapis.com/af/82/fd/41bd768c1b06ef/US08973965-20150310-D00000.png
US-9352783-B2,Vehicle crush rail with substantially square cells and initiators ,"Tesla Motors, Inc.","N. Petter WINBERG, Timothy L. Sheldon, Sachin Shrimant Sawant",2014-04-17,2014-04-17,2016-05-31,2016-05-31,https://patents.google.com/patent/US9352783B2/en,https://patentimages.storage.googleapis.com/fb/40/b2/5d30e91fae980e/US09352783-20160531-D00000.png
EP-2804297-A2,Squirrel-cage rotor assembly with electron beam welded end caps ,"Tesla Motors, Inc.","David Fred Nelson, Shyi-Perng Phillip Luan, Edwin Marcum Pearce, William Randall Fong",2013-05-18,2014-05-16,2014-11-19,,https://patents.google.com/patent/EP2804297A2/en,https://patentimages.storage.googleapis.com/83/57/98/6ec74e08cba4cc/imgf0001.png
US-D773197-S,Seat ,"Tesla Motors, Inc.","Patrick Grimmel, Radu I Muntean, Franz Von Holzhausen",2015-07-08,2015-07-08,2016-12-06,2016-12-06,https://patents.google.com/patent/USD773197S1/en,https://patentimages.storage.googleapis.com/18/80/c6/1178b3ff8e25c3/USD0773197-20161206-D00000.png
US-D783497-S,Vehicle wheel ,"Telsa, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2017-04-11,2017-04-11,https://patents.google.com/patent/USD783497S1/en,https://patentimages.storage.googleapis.com/9c/eb/26/c617b0f1c70aa0/USD0783497-20170411-D00000.png
US-2018162199-A1,Infotainment system with air-vent control ,"Tesla Motors, Inc.","Jonathan Stoia, Christopher Berthelet",2016-12-09,2016-12-09,2018-06-14,,https://patents.google.com/patent/US20180162199A1/en,https://patentimages.storage.googleapis.com/ff/18/fa/019637e90153f0/US20180162199A1-20180614-D00000.png
US-2018114740-A1,Inverter ,"Tesla Motors, Inc.","Wenjun Liu, Robert James Ramm, Alan David Tepe, Colin Kenneth Campbell, Dino Sasaridis",2016-10-25,2016-10-25,2018-04-26,,https://patents.google.com/patent/US20180114740A1/en,https://patentimages.storage.googleapis.com/5f/36/66/eeef9c2a1ad603/US20180114740A1-20180426-D00000.png
US-2017057388-A1,Monopost for free-standing vehicle seat ,"Tesla Motors, Inc.","P Thomas Vikstrom, Jan Just, Olav SADOO, Tony PASCHOS",2015-08-27,2015-08-27,2017-03-02,,https://patents.google.com/patent/US20170057388A1/en,https://patentimages.storage.googleapis.com/a6/65/30/a4e5df08be576a/US20170057388A1-20170302-D00000.png
US-2017059697-A1,Hidden ultrasonic sensor assembly ,"Tesla Motors, Inc.",Adnan Esmail,2015-08-31,2016-08-31,2017-03-02,,https://patents.google.com/patent/US20170059697A1/en,https://patentimages.storage.googleapis.com/a9/93/e6/e52d4ddd87d599/US20170059697A1-20170302-D00000.png
US-D791378-S,Vehicle fascia lamp ,"Tesla, Inc.","Bernard Lee, Joonas Vartola, David T Imai, Franz Von Holzhausen",2016-03-30,2016-03-30,2017-07-04,2017-07-04,https://patents.google.com/patent/USD791378S1/en,https://patentimages.storage.googleapis.com/53/03/22/1363f16f9c9a6e/USD0791378-20170704-D00000.png
US-D818407-S,Vehicle side view mirror ,"Tesla, Inc.","Bernard Lee, David T Imai, Franz Von Holzhausen",2016-03-30,2016-03-30,2018-05-22,2018-05-22,https://patents.google.com/patent/USD818407S1/en,https://patentimages.storage.googleapis.com/55/9f/42/a6ecae86df205e/USD0818407-20180522-D00000.png
US-2014376995-A1,Air-tight Slip-on Structural Joint Not Using Sealant ,"Tesla Motors, Inc.","Andreas Faass, Aaron Johnson, Derek Ryan Paul, Donald James Parr, Kevin Matthew Anderson",2013-06-20,2013-06-20,2014-12-25,,https://patents.google.com/patent/US20140376995A1/en,https://patentimages.storage.googleapis.com/0a/c1/6c/c1da417f2b8398/US20140376995A1-20141225-D00000.png
US-2017275930-A1,Angle-detecting door handle assembly ,"Tesla Motors, Inc.","Joris Aerts, Klaus Hofmockel, Brian SVEC",2016-03-25,2016-03-25,2017-09-28,,https://patents.google.com/patent/US20170275930A1/en,https://patentimages.storage.googleapis.com/95/ed/b5/f7c960ca758f39/US20170275930A1-20170928-D00000.png
